tpep_pickup_datetime,count
2002-12-31,3
2003-01-01,1
2008-12-31,2
2023-05-31,19
2023-06-01,122135
2023-06-02,117852
2023-06-03,116954
2023-06-04,99330
2023-06-05,102484
2023-06-06,120140
2023-06-07,122796
2023-06-08,118686
2023-06-09,114179
2023-06-10,111599
2023-06-11,96177
2023-06-12,106264
2023-06-13,116749
2023-06-14,121700
2023-06-15,126816
2023-06-16,110323
2023-06-17,105103
2023-06-18,91349
2023-06-19,85579
2023-06-20,107277
2023-06-21,115339
2023-06-22,120531
2023-06-23,113509
2023-06-24,108193
2023-06-25,93648
2023-06-26,99080
2023-06-27,108548
2023-06-28,105063
2023-06-29,104311
2023-06-30,94210
2023-07-01,16
